,,,,,,,,,,
,Priority Action Queue — ORANGE Claims (Sorted by Risk Score ↓),,,,,,,,,
,#,Claim ID,Pipe,Claim Text,Date Range,Risk,Conf.,Archive Target,Immediate Action,TSK Ref
,1,POL-005,POL,"Francisco Terminel as Federal Senator Sonora c.1934 — DOWNGRADED (Diario XXXVI Leg. Sept 6 1934 names Francisco López, not Terminel)",1934,7,3,Memoria Política de México,Diario Debates XXXVI Leg.; Memoria Política de México,—
,2,GEN-006,GEN+FAM,"Francisco Terminel death location — open question: Mexico, California, or unknown — death story may be cover narrative (TRADE-001)",Post-1936,7,3,CA vital records/Baja CA registry,CA death records + Baja CA civil registry,—
,3,POL-009,POL,Death-story narrative: Francisco reported as deceased to enable severance from Mexican political exposure — possible deliberate disinformation,Post-1936,7,4,CA vital records/Baja CA registry,CA vital records + San Diego County probate,—
,4,TRADE-003,TRADE,"Brothers' complicit silence: Francisco's siblings did not dispute death story — suggests coordination, fear, or asset protection",Post-1936,7,4,FAPECFT/family oral history,FAPECFT — search brothers' names,FAPECFT
,5,TRADE-004,TRADE,Dual-family hypothesis: Francisco established second household post-1936 under altered identity in California or Baja California,Post-1936,7,3,CA/Baja CA vital records,CA marriage + Baja CA civil registry,—
,6,TRADE-001,TRADE,Death-story severance: Francisco told family he 'died' — enabled clean break from political exposure post-1936,Post-1936,7,4,CA vital records/Baja CA,CA death records + Baja CA registry,GEN follow-up
,7,GEN-007,GEN+FAM,Dual-family hypothesis: Francisco may have established second household post-1936 under altered identity,Post-1936,7,3,CA vital records/Ancestry,CA marriage records + Ancestry.com,—
,8,WF-006,WF,Aviana Sagasta visited Wells Fargo Express office (~1912–1935) inquiring about funds/accounts; denied access — 4-generation oral history,~1912–1935,6,4,WF Historical Services/AHES,Mail WF Historical Services letter (TSK-004),TSK-004
,9,POL-008,POL,Terminel's brothers maintained complicit silence about Francisco's fate post-1936 — possible strategic cover narrative,Post-1936,6,4,Oral history/FAPECFT,FAPECFT correspondence,—
,10,GEN-003,GEN+FAM,1952 Los Angeles passenger manifest lead — possible Nela entry under variant spelling,1952,6,4,Ancestry.com/FamilySearch,Ancestry.com passenger manifests 1952,—
,11,LAND-007,LAND,Vendor/contractor payment trail — Francisco Terminel received government payments for San Javier mining district infrastructure,~1900–1920,6,4,AHES/AGN,AHES Fondo Hacienda; AGN Gobernación,—
,12,TRADE-002,TRADE,Gambling cover narrative: financial losses attributed to gambling — possible deliberate misdirection from political seizure,Family narrative,6,4,Internal analysis,Contrast with AGES expediente documentation,—
,13,WF-013,WF,Oregon Historical Society — secondary WF Express collection; possible Mexico Division correspondence,~1895–1920,6,4,Oregon Historical Society,Oregon Historical Society catalog search,—
,14,INST-006,AUDIT+INST,The Cow Principle: 'retaining only a cow' detail too specific for AI invention — likely genuine oral history; verify via Hermosillo census padrones,~1913,6,4,AHES Padrón Municipal,AHES Padrón Municipal / census padrones,—
,15,TRADE-005,TRADE,Strategic geographic anchoring: San Diego chosen as diaspora location — closest major US city to Sonora; suggests deliberate proximity,Post-1936,5,5,Internal analysis,Family settlement pattern analysis,—
,16,LAND-005,LAND,"1907 escritura Libro 92, Folio 37 — nominal consideration 'one peso' — possible fraudulent conveyance (Art. 2163 CCF)",~1907,5,5,AHES (Hermosillo),Mail AHES request for Libro 92 Folio 37,LAND-005
,17,LAND-006,LAND,"San Javier infrastructure deeds (bridges, dams, irrigation works) — in Gabriel's custody — Francisco as contractor/owner",~1900–1920,5,5,Gabriel's custody/AGES,SHA-256 hash Gabriel's infrastructure deeds,TSK-006
,18,LAND-004,LAND,"1892 private title deed: Libro 45, Folio 12 — Registro Público de la Propiedad, Sahuaripa — Francisco Terminel property San Javier",~1892,5,5,AHES (Hermosillo),Mail AHES request for Libro 45 Folio 12,LAND-004
,19,LAND-002,LAND,"Francisco Terminel owned water rights, dams, bridges in San Javier — private title deeds in Gabriel's possession (SHA-256 HASH PENDING — URGENT)",~1900–1938,5,5,Gabriel's holdings/AHES,SHA-256 hash Gabriel's deeds — DO TODAY,TSK-006
,20,LEGAL-006,LEGAL,Lloyd's of London 2020 precedent — institutional acknowledgment of historical indigenous land/asset claims,2020,5,5,Lloyd's/academic sources,Lloyd's formal statement; academic commentary,—
,21,WF-015,WF,Aviana-as-recipient reframe: inquiry should ask if Aviana Sagasta held any account or deposit (not Francisco) — changes WF search strategy,~1912–1935,5,5,WF Historical Services,WF Historical Services Q3 of inquiry letter,—
,22,WF-012,WF,Hosmer B. Parsons correspondence (Huntington Library) — WF Mexico operations; possible 1913 silver-bars episode documentation,1913,5,5,Huntington Library (San Marino CA),Bancroft Library finding aid — Parsons papers,TSK-003 (Bancroft)
,23,WF-014,WF,Wells Fargo ESRM / Indigenous Peoples Statement — corporate policy re historical indigenous land impacts,Contemporary,5,5,Wells Fargo (corporate),WF corporate website / sustainability reports,—
,24,GEN-004,GEN+FAM,1920 Sonora census Distrito 5 — possible Terminel/Sagasta household with children,1920,5,5,FamilySearch/AHES,FamilySearch Mexico 1921 census (Sonora),—
,25,GEN-005,GEN+FAM,Bácum/La Realidad: locality renamed post-expropriation — possible site of Francisco Terminel Mayo Valley operations,Post-1938,5,5,AGES/INEGI,AGES ejido documentation + INEGI locality records,—
,26,POL-004,POL,"Calles exile group exited Mexico April 9 1936: Calles, Morones, Ortega, Manrique — Terminel likely in this cohort",April 1936,4,6,FAPECFT/AGN Gobernación,FAPECFT + HNDM newspaper search,FAPECFT + HNDM
,27,POL-010,POL,FAPECFT search target: Terminel/Verminel in Callista correspondence files 1930–1936,1930–1936,4,6,FAPECFT,FAPECFT catalog search,FAPECFT
,28,LAND-003,LAND,San Javier analog ejido expediente documenting Terminel land/water dispossession likely exists in AGES — mirrors Bacobampo pattern,~1930–1940,4,6,AGES/RAN,Submit AGES/RAN request (TSK-005),TSK-005
,29,LAND-008,LAND,Terminel-Porchas partnership: Francisco owned land/water; Porchas held mining concessions — complementary assets to be confirmed by combining deeds + SGM,~1895–1938,4,6,SGM (partial) + deeds (pending),Combine deeds (TSK-006) + SGM confirmation,—
,30,GEN-002,GEN+FAM,Porchas family graves confirmed in Panteón Municipal San Javier (Gabriel site visit ~2005); no Terminel graves found,~2005 obs.,4,6,FindAGrave/on-site,FindAGrave cemetery 2740823; on-site documentation,—
,31,IND-001,IND+DNA,Aviana Sagasta most likely Névome Pima Bajo (50–65%) — geographic match to Sonora River watershed / San Javier corridor,Pre-colonial–1900,4,6,FamilySearch/AGN,Browse FamilySearch cat. 704679 + 704681 — DO TODAY,TSK-001/002
,32,LEGAL-002,LEGAL,Article 2163 CCF — fraudulent conveyance; applicable to 1907 'one peso' escritura (Libro 92 Folio 37) if nominal transfer confirmed,1907,4,6,AHES + legal analysis,Confirm AHES Libro 92 Folio 37 first (LAND-005),—
,33,WF-011,WF,"Wiltsee Collection — ~1,400 express-company document envelopes at WF Historical Services — highest-probability archive for Sonoran agent records",~1890–1930,4,6,WF Historical Services,WF Historical Services letter (TSK-004),TSK-004
,34,INST-009,AUDIT+INST,Silvestre Terrazas papers (UC Berkeley Bancroft Library) — 1913 WF silver-bars correspondence; released Walter Brem 1999; resolve Chihuahua vs. Sonora episode,1913,4,6,UC Berkeley Bancroft Library,Bancroft Library inquiry (TSK-003),TSK-003
