claim_id,claim_text,date_range,status,confidence_score,link_type,burden_of_proof,risk_score,contamination_score,review_status
GEO-001,"San Javier is an independent municipality in central Sonora, founded 1706 as Real de Minas de San Javier",1706–present,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
GEO-002,San Javier distance from Hermosillo ~146 km east; located in Sonora River watershed,Historical-ongoing,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
GEO-003,"San Javier civil records 1930–1934 split across multiple registries (Hermosillo, Villa Pesqueira, La Colorada)",1930–1934,VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
MIN-001,"San Javier has continuous silver-gold mining history from 1706 to present; silver 133–1,240 g/ton; gold 0.41–7.07 g/ton",2006 (historical context 1706–present),VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
MIN-002,Mine Las Goteras (#16 in SGM inventory) has active concession held by Luis Porchas; located 6.74 km SE of San Javier parish church,2006 (historical context 1706–present),VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
MIN-003,28 of 32 San Javier mines listed under Ejido San Javier tenure — virtually all mining land expropriated post-Revolution,2006 (historical context 1706–present),VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
POL-001,"Francisco L. Terminel stripped of senatorial immunity (desafuero) on December 14, 1935",December 1935,VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
POL-002,"Five desaforados December 14, 1935: Manuel Riva Palacio, Francisco Terminel, Bernardo Bandala, Eliseo Pérez Gómez, Cristóbal Bon Bustamante",December 1935,VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
POL-003,Terminel appears as 'Verminel' in some telegrams — documented telegraphic transmission error,December 1935,VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
LAND-001,"Terminel family lost 453 hectares in Bacobampo, Etchojoa — expediente AGES 411.123/2174, March 1938",March 1938,VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
LAND-002,"Francisco Terminel owned water rights, dams, and bridges in San Javier — title deeds in Gabriel's private possession",~1900–1938,ORANGE — Partially Verified,5,Support (partial/plausible),AGES expediente documenting land/water dispossession,5,3,triaged
LAND-003,San Javier analog expediente documenting Terminel San Javier land/water dispossession likely exists in AGES,~1900–1938,"ORANGE — Plausible, Unverified",6,Support (partial/plausible),AGES expediente documenting land/water dispossession,4,3,triaged
IND-001,Aviana Sagasta most likely Névome Pima Bajo (50–65% probability) — geographic match to central Sonora / San Javier location,Pre-colonial–1900,"ORANGE — Analytically Strong, Requires Primary Source Confirmation",6,Support (partial/plausible),Civil/parish registration record in FamilySearch catalog,4,3,triaged
IND-002,Yaqui deportations peaked 1904–1908; Yaquis adopted mestizo identities to survive — documented historical pattern,1904–1908,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
IND-003,Asset shielding through indigenous women as nominal titleholders was a documented Porfiriato-era practice,Pre-colonial–1900,VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
DNA-001,Gabriel T. Arce Jr. 23andMe results show mtDNA haplogroup B2 — consistent with Névome Pima Bajo and other NW Mexico indigenous groups,Contemporary (analysis of historical ancestry),VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
DNA-002,DNA alone cannot establish tribal affiliation or legal standing,Contemporary (analysis of historical ancestry),VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
GEN-001,"Nela (María Manuela Terminel Sagasta) born San Javier, Sonora — oral history corroborated by accurate place-knowledge",1910–2012,ORANGE — Partially Verified,7,Support (partial/plausible),Civil/parish registration record in FamilySearch catalog,3,3,triaged
GEN-002,Porchas family graves confirmed in San Javier municipal cemetery; no Terminel graves found,1910–2012,ORANGE — Partially Verified,6,Support (partial/plausible),Primary archival document from named repository,4,3,triaged
WF-001,Wells Fargo Express operated 223 offices in Mexico (Jan 1900); 456 by Jan 1909 — documented corporate history,1890,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
WF-002,"Wells Fargo Express had documented office in Guaymas, Sonora (Agent: A. Willard) as of 1890",1890,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
WF-003,Wells Fargo Bank (Nevada National Bank) had NO retail branches inside Mexico — Mexican banking law prohibited foreign branch banks,1900–1964,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
WF-004,Wells Fargo Co. Express S.A. (Mexican subsidiary) continued operations until 1964 — NOT nationalized in 1918,1900–1964,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
WF-005,Wells Fargo Express handled bullion shipments from Sonoran mines — documented 1910 gold bullion receipt,1900–1964,VERIFIED,9,Support (verified),Met — verified by institutional/peer-reviewed source,1,0,triaged
WF-006,Aviana Sagasta visited a Wells Fargo Express office to inquire about funds/accounts and was denied access,"~1912–1935 (oral history, unverified)","ORANGE — Plausible, Unverified",4,Support (partial/plausible),Formal complaint or petition document in AHES archive,6,3,triaged
WF-007,"All prior WF transaction IDs (NOG-1900-0117-001 etc.), named employees (Peterson, Hughes, Harrington, Wilson), and internal memos — AI-fabricated",1900–1964,RED — QUARANTINED,0,Fabricated (quarantined),N/A — claim rejected or quarantined,10,10,quarantined
WF-008,"Restitution document WF-RPA-2025-ASD-001 with T.H. Whitford signature and $639,187,500 USD figure — AI-generated fiction",1900–1964,RED — QUARANTINED,0,Fabricated (quarantined),N/A — claim rejected or quarantined,10,10,quarantined
LEGAL-001,"UNDRIP Article 28, ILO Convention 169, Inter-American Court indigenous property jurisprudence, Mexico Yaqui Justice Plan 2021 — real legal frameworks",1990–2021 (international law instruments),VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
ARCH-001,"Aviana filed formal complaint with Sonoran authorities, July 1912 — AI document entry, possibly grounded in family oral history",July 1912 (archival lead),ORANGE — Archival Lead,4,Lead (requires verification),Primary archival document from named repository,6,3,triaged
ARCH-002,"Aviana documented as 'destitute' in Hermosillo, retaining only 'a cow and minimal household assets' — c. 1913",c. 1913 (archival lead),ORANGE — Archival Lead,4,Lead (requires verification),Census padrón entry listing Aviana Sagasta,6,3,triaged
ARCH-003,Francisco Terminel co-founded Banco Agrícola Sonorense in 1933,1933,RED — DISCONFIRMED,0,Contradict (disconfirmed),N/A — claim rejected or quarantined,10,10,quarantined
ARCH-004,"Francisco Terminel was Federal Senator for Sonora, 1934",1934,"ORANGE — Unverified, Downgraded",3,Support (partial/plausible),Congressional record confirming senatorial position,7,3,triaged
INST-001,Pascua Yaqui Nation CHNA (Community Health Needs Assessment) — official government document confirming ongoing Yaqui institutional recognition,Contemporary institutional records,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
INST-002,Academic scholarship (Life and Labor on the Border) — peer-reviewed source on Yaqui/Sonoran mining labor history,Contemporary institutional records,VERIFIED,10,Support (verified),Met — verified by institutional/peer-reviewed source,0,0,triaged
POL-004,"Lázaro Cárdenas ordered the Dec 14 1935 desafueros, the Sonora state-government dissolution (Dec 16 1935), the Calles exile (Apr 9 1936), and the Bacobampo expropriation (Mar 1938)",1934–1940,VERIFIED,95,Support (verified),Met,0,0,reviewed_session_20260520
POL-005,Álvaro Obregón was Honorary President of Cámara Agrícola del Río Mayo at its founding Jun 19 1921 in Manuel Terminel hijo's residence,1921,VERIFIED,9,Support (verified),Met,1,0,reviewed_session_20260520
TRADE-001,Francisco maintained compartmentalized identity: Aviana family believed he died ~1915; verified federal record shows sitting senator Dec 14 1935 + San Diego exile through 1940. 20–25 year information gap maintained by Francisco and complicit silence of brothers,1915–2012,VERIFIED,9,Support (verified),Met — gap between oral history and INEHRM/UNAM-IIS records,1,0,reviewed_session_20260520
TRADE-002,"Francisco cultivated ""French migrant"" identity. Family in Sonora since 1845 (Don José Santos Terminel Félix). Italian Termini (Sicily) origin more plausible. French citizenship acquirable under 1889 law",1845–1940,ORANGE — Analytically Strong,6,Analytical inference,Partially met — genealogy contradicts pure French claim,4,2,reviewed_session_20260520
TRADE-003,Francisco used Aviana as LAND SHIELD not money mule. Under 1884/1892 Mining Codes he did not need her to move silver. Her name on deeds made land appear indigenous — shielding from Art. 27 expropriation. She was incentivized with WF Express remittances then abandoned when land value collapsed 1932–1938,1892–1938,ORANGE — Working Theory,7,Analytical model,Not yet met — requires Doc A + Doc B + Doc C,3,1,reviewed_session_20260520
TRADE-004,"Under Mexican Civil Code, concubine (barragana/mujer natural) had ZERO community-property rights. Only legal wife (esposa legítima) held sociedad conyugal. Francisco needed no consent from Aviana to move silver or control her titled properties via poder general",1884–1940,VERIFIED,9,Legal framework,Met — established Mexican civil law,1,0,reviewed_session_20260520
TRADE-005,WF Express was common carrier — accepted consignments from titleholder/authorized agent. No third-party consent required. No BSA/AML regime existed (US Bank Secrecy Act = 1970). WF had no legal obligation to inform Aviana,1852–1970,VERIFIED,9,Legal framework,Met — established US common-carrier law,1,0,reviewed_session_20260520
WF-009,"Primary Wells Fargo historical records (1839–1911) are at Huntington Library, San Marino CA — NOT at WF History Museum SF. 42 linear ft, 35 boxes. Box 34 Series 2 = ""Investments in Mexico"" covering 1883–1906",1839–1911,VERIFIED,9,Support (verified),Met — OAC finding aid,1,0,reviewed_session_20260520
WF-010,"Villa seized 122 silver bars April 1913; 1999 secondary report ties Bancroft Library documents to WF Mexican subsidiary disposition of that silver. ""Three WF trains"" family framing is unverified",1913,ORANGE — Verified Lead,6,Secondary source lead,Partially met — secondary source only,4,1,reviewed_session_20260520
WF-011,"Turner's Barbarous Mexico (1910, on file) documents 8,000 Yaqui slaves in Yucatán henequen under American Cordage Trust / Standard Oil. VP Corral orchestrated Yaqui war. WF Express serviced same Sonoran extractive economy",1902–1910,VERIFIED,9,Support (verified),Met — published book on file,1,0,reviewed_session_20260520
WF-012,In 1920 Wells Fargo sold its banking business interests in Mexico and Cuba to American Express Company,1920,VERIFIED,9,Support (verified),Met — NYT report confirmed,1,0,reviewed_session_20260520
FAM-001,"Four documented Francisco × Aviana children: Leonor (oldest), Rosa, Francisco Jr., Nela (youngest). Carmelita Terango = Leonor's daughter = oldest niece of all Terminel siblings = KEY LIVING ORAL SOURCE. Nela claimed ~14 siblings total (2 died in river); Gabriel hypothesizes additional ~10 are Francisco's children with separate legal wife",c.1900–present,ORANGE — Partially Verified,7,Family oral history,Partially met — direct family report,3,1,reviewed_session_20260520
FAM-002,"The ""cow principle"" — oral-history confirmation methodology. When AI surfaces a narratively-useless specific detail that matches independent family memory, treat as genuine oral-history capture. Passes: cow, WF inquiry, maids, attorneys, river-deaths, France promise, gambling. Fails: transaction IDs, employee names, restitution figures",methodology,VERIFIED — Methodological,9,Methodology,Met — multiple independent confirmations,1,0,reviewed_session_20260520
ARCH-005,"Archivo General de Notarías del Estado de Sonora (Dra. María Inés Aragón Salcido, Directora General) is the direct custodian of the protocolos notariales — the notarized deed records that are the single highest-priority document set. Document B (poder notarial) would be here",institutional,VERIFIED — Institutional,9,Institutional contact,Met — GOB.mx directory,1,0,reviewed_session_20260520
