evidence_id,linked_claim_id,source_name,source_system,storage_uri,provenance_score,authenticity_score,contamination_score,review_status
EV-0001,GEO-001,Wikipedia / INEGI / Sonora96 / FamilySearch catalog,Multiple independent institutional sources,INEGI code 260541; FamilySearch region Centro Costa,10,10,0,verified
EV-0002,GEO-002,Pass 3 Forensic Update — San Javier Geography,"Verified institutional sources (INEGI, geographic analysis)",INEGI municipal data,10,10,0,verified
EV-0003,GEO-003,Pass 3 Forensic Update — administrative history,"Verified — State Law 109, December 22, 1934",Sonora State legislature records; AHES,10,10,0,verified
EV-0004,MIN-001,SGM 2006 mineral inventory — federal government work product,VERIFIED — Mexican federal government (Servicio Geológico Mexicano),"SGM Inventario de Recursos Minerales, San Javier, March 2006",10,10,0,verified
EV-0005,MIN-002,SGM 2006 mineral inventory,VERIFIED — Mexican federal government document,"SGM inventory, authored Ing. José Antonio Sánchez González",10,10,0,verified
EV-0006,MIN-003,SGM 2006 mineral inventory,VERIFIED — federal government document,SGM 2006 inventory land-tenure column,10,10,0,verified
EV-0007,POL-001,UNAM-IIS institutional repository (Uruchurtu biography) + INEHRM-adjacent source,VERIFIED — institutional academic source,ru.iis.sociales.unam.mx; INEHRM archive,10,10,0,verified
EV-0008,POL-002,INEHRM-adjacent source + UNAM-IIS,VERIFIED — institutional source,FAPECFT correspondence files,10,10,0,verified
EV-0009,POL-003,UNAM-IIS repository (Uruchurtu biography),VERIFIED — UNAM institutional source,FAPECFT; AGN Fondo Gobernación; HNDM,10,10,0,verified
EV-0010,LAND-001,University of Arizona peer-reviewed dissertation citing primary archival source,VERIFIED — peer-reviewed academic source citing primary archive,"AGES, Ramo Ejido-Dotaciones, expediente 411.123/2174",10,10,0,verified
EV-0011,LAND-002,Gabriel T. Arce Jr. — private family holdings,"PARTIALLY VERIFIED — private documents, not yet externally authenticated",AHES Registro Público de la Propiedad; AGES Ramo Fomento hydraulic concessions,5,5,3,triaged
EV-0012,LAND-003,Pass 3 Forensic Update — inference from Bacobampo pattern,PLAUSIBLE — logical inference from verified Bacobampo expediente pattern,"AGES, Ramo Ejido-Dotaciones — San Javier municipality search",5,5,3,triaged
EV-0013,IND-001,Pass 3 Forensic Update — geographic and ethnographic analysis,VERIFIED GEOGRAPHIC FRAMEWORK — indigenous group homeland boundaries from peer-reviewed sources,San Javier parish/civil records; AGN Gobernación indigenous classification files,5,5,3,triaged
EV-0014,IND-002,Multiple peer-reviewed sources; Wikipedia Yaqui article citing Spicer/Hu-DeHart scholarship,VERIFIED — independent scholarly consensus,UA Special Collections — Spicer Yaqui papers,10,10,0,verified
EV-0015,IND-003,Multiple peer-reviewed historical sources; Dataset Audit Report,VERIFIED — independently documented historical practice,AGN Notarías; AGN Gobernación; AHES Registro Público,10,10,0,verified
EV-0016,DNA-001,23andMe ancestry report — Space file,VERIFIED — scientific instrument,23andMe report on file,10,10,0,verified
EV-0017,DNA-002,Dataset Audit Report,VERIFIED — established legal principle,Legal precedent — must be paired with archival genealogical chain,10,10,0,verified
EV-0018,GEN-001,Family oral history + Gabriel personal site visit (~2005) + SGM inventory confirms Bajada de la Santa Cruz tradition,ORANGE — oral history corroborated by site visit; civil registration not yet found,FamilySearch catalog 704679 — San Javier civil registry 1868–1993,5,5,3,triaged
EV-0019,GEN-002,"Gabriel T. Arce Jr. personal site visit, ~2005",ORANGE — oral/observational; not documented in public record,Panteón Municipal San Javier; FindAGrave cemetery 2740823,5,5,3,triaged
EV-0020,WF-001,Pass 3 Forensic Update; Phase 1 Wells Fargo Express Evidence; 1890 WF corporate directory,VERIFIED — corporate publications and historical record,1890 Wells Fargo Express & Banking Official Directory (on file),10,10,0,verified
EV-0021,WF-002,1890 Wells Fargo Express & Banking Official Directory,VERIFIED — corporate primary source,1890 WF directory (on file),10,10,0,verified
EV-0022,WF-003,Pass 3 Forensic Update — banking law analysis,"VERIFIED — Mexican banking law, corroborated by Pass 3 forensic analysis",Mexican banking statutes Porfiriato era; Pass 3 document,10,10,0,verified
EV-0023,WF-004,Pass 3 Forensic Update,VERIFIED — corporate historical record,Wells Fargo Historical Services; philatelic/express company records,10,10,0,verified
